Country,Year,GDP
Italy,2024,2071.86
Kosovo*,2017,31.59
Kosovo*,2018,13.15
Kosovo*,2019,31.38
Kosovo*,2021,44.35
Latvia,2013,0.0
Latvia,2014,22.42
Latvia,2015,22.69
Latvia,2016,25.73
Latvia,2017,21.34
Latvia,2018,24.31
Latvia,2019,25.09
Latvia,2020,18.4
Latvia,2021,25.97
Latvia,2022,23.9
Latvia,2023,31.88
Latvia,2024,26.93
Liechtenstein,2013,3.21
Liechtenstein,2014,2.69
Liechtenstein,2015,3.15
Liechtenstein,2016,2.95
Liechtenstein,2017,2.65
Liechtenstein,2018,3.01
Liechtenstein,2019,2.66
Liechtenstein,2020,1.83
Liechtenstein,2021,2.57
Liechtenstein,2022,1.98
Liechtenstein,2023,2.79
Liechtenstein,2024,2.77
Lithuania,2013,21.34
Lithuania,2014,16.57
Lithuania,2015,16.56
Lithuania,2016,28.69
Lithuania,2017,27.68
Lithuania,2018,38.42
Lithuania,2019,45.34
Lithuania,2020,69.67
Lithuania,2021,38.67
Lithuania,2022,34.38
Lithuania,2023,45.0
Lithuania,2024,38.56
Luxembourg,2013,60.42
Luxembourg,2014,76.03
Luxembourg,2015,81.5
Luxembourg,2016,81.42
Luxembourg,2017,81.02
Luxembourg,2018,66.16
Luxembourg,2019,85.93
Luxembourg,2020,80.72
Luxembourg,2021,56.73
Luxembourg,2022,63.33
Luxembourg,2023,84.49
Luxembourg,2024,76.35
Malta,2013,0.04
Malta,2014,0.15
Malta,2015,10.1
Malta,2016,10.01
Malta,2017,13.05
Malta,2018,13.72
Malta,2019,13.19
Malta,2020,8.01
Malta,2021,7.88
Malta,2022,9.61
Malta,2023,12.48
Malta,2024,12.16
Moldova,2013,25.68
Moldova,2014,22.71
Moldova,2015,16.5
Moldova,2016,13.78
Moldova,2017,33.24
Moldova,2018,19.57
Moldova,2019,30.06
Moldova,2020,21.84
Moldova,2021,36.83
Moldova,2022,28.79
Moldova,2023,37.57
Moldova,2024,52.08
Montenegro,2016,2.79
Montenegro,2017,2.61
Montenegro,2018,5.44
Montenegro,2019,4.51
Montenegro,2020,1.39
Montenegro,2021,4.51
Montenegro,2022,5.23
Netherlands,2013,307.96
Netherlands,2014,330.18
Netherlands,2015,317.29
Netherlands,2016,256.13
Netherlands,2017,336.83
Netherlands,2018,376.15
Netherlands,2019,701.49
Netherlands,2020,578.85
Netherlands,2021,573.01
Netherlands,2022,469.12
Netherlands,2023,512.92
Netherlands,2024,637.1
Norway,2013,107.95
Norway,2014,124.01
Norway,2015,119.53
Norway,2016,194.42
Norway,2017,296.8
Norway,2018,269.11
Norway,2019,239.47
Norway,2020,222.41
Norway,2021,237.1
Norway,2022,233.0
Norway,2023,173.19
Norway,2024,198.99
Poland,2013,470.15
Poland,2014,520.8
Poland,2015,483.39
Poland,2016,734.7
Poland,2017,795.59
Poland,2018,811.75
Poland,2019,866.88
Poland,2020,625.02
Poland,2021,605.38
Poland,2022,593.34
Poland,2023,786.31
Poland,2024,666.99
Portugal,2013,0.11
Portugal,2014,0.12
Portugal,2015,0.42
Portugal,2016,0.7
Portugal,2017,361.86
Portugal,2018,337.21
Portugal,2019,280.32
Portugal,2020,216.23
Portugal,2021,216.69
Portugal,2022,205.46
Portugal,2023,291.14
Portugal,2024,301.22
Romania,2013,90.17
Romania,2014,110.47
Romania,2015,77.77
Romania,2016,135.0
Romania,2017,167.65
Romania,2018,195.78
Romania,2019,275.71
Romania,2020,200.65
Romania,2021,156.62
Romania,2022,159.97
Romania,2023,228.28
Romania,2024,182.93
Serbia,2019,77.12
Serbia,2020,79.15
Serbia,2021,63.55
Serbia,2022,60.29
Serbia,2023,72.58
Serbia,2024,72.37
Slovakia,2013,1.04
Slovakia,2014,0.07
Slovakia,2015,0.1
Slovakia,2016,0.95
Slovakia,2017,1.7
Slovakia,2018,1.38
Slovakia,2019,0.69
Slovakia,2020,2.32
Slovakia,2021,2.37
Slovakia,2022,98.8
Slovakia,2023,141.33
Slovakia,2024,113.27
Slovenia,2013,52.58
Slovenia,2014,91.92
Slovenia,2015,73.33
Slovenia,2016,109.12
Slovenia,2017,98.8
Slovenia,2018,94.3
Slovenia,2019,117.14
Slovenia,2020,83.82
Slovenia,2021,91.84
Slovenia,2022,74.64
Slovenia,2023,81.15
Slovenia,2024,71.62
Spain,2013,1.97
Spain,2014,1462.68
Spain,2015,1756.94
Spain,2016,2194.61
Spain,2017,1930.25
Spain,2018,2039.52
Spain,2019,2277.02
Spain,2020,1297.05
Spain,2021,1608.73
Spain,2022,1454.09
Spain,2023,1427.47
Spain,2024,1753.77
Sweden,2013,480.77
Sweden,2014,407.12
Sweden,2015,627.55
Sweden,2016,580.7
Sweden,2017,663.12
Sweden,2018,506.6
Sweden,2019,630.44
Sweden,2020,419.31
Sweden,2021,365.08
Sweden,2022,502.97
Sweden,2023,363.27
Sweden,2024,375.13
Switzerland,2013,552.25
Switzerland,2014,541.86
Switzerland,2015,508.85
Switzerland,2016,508.82
Switzerland,2017,467.72
Switzerland,2018,417.38
Switzerland,2019,442.48
Switzerland,2020,391.97
Switzerland,2021,412.55
Switzerland,2022,394.83
Switzerland,2023,439.15
Switzerland,2024,315.51
Türkiye,2013,975.92
Türkiye,2014,720.08
Türkiye,2015,1136.83
Türkiye,2016,1088.21
Türkiye,2017,1279.88
Türkiye,2018,739.07
Türkiye,2019,489.14
Türkiye,2020,770.09
Türkiye,2021,1013.0
Türkiye,2022,885.74
Türkiye,2023,1187.15
Türkiye,2024,1263.52
Ukraine,2019,101.58
Ukraine,2020,109.96
Ukraine,2021,181.68
Ukraine,2022,63.2
Ukraine,2023,78.27
Ukraine,2024,85.64
United Kingdom,2015,4642.83
United Kingdom,2016,3780.41
United Kingdom,2017,3553.82
United Kingdom,2018,3934.62
United Kingdom,2021,2887.94
United Kingdom,2022,2877.6
United Kingdom,2023,3124.35
